"word","stars"
"perfectly",1.96302372742165
"informative",1.96039135878017
"yu",1.95824541616491
"terrific",1.95817199021143
"beautifully",1.95782818591472
"pasties",1.95523732065145
"surety",1.95369658880309
"sydney",1.94892032007317
"affordable",1.94648010801178
"crafted",1.94567007911173
"refreshing",1.94533538610655
"haggis",1.94529389381527
"delightfully",1.94511785370566
"cannolis",1.94492385031956
"colombian",1.94316070189885
"tastefully",1.94316070189885
"not_overwhelming",1.94153062128348
"breakfast_lunch",1.94113514810666
"deckers",1.94076086099289
"flavorful",1.94036477074627
"bruschettas",1.93861363491913
"richest",1.93861363491913
"figs",1.93642072318423
"spotless",1.93385670330958
"tryst",1.93367630071361
"pleaser",1.93189188373172
"bester",1.93096238393142
"lovingly",1.92716176252576
"preferences",1.92716176252576
"fantastically",1.92494150155153
"treats",1.92185479727029
"hoovers",1.91965881164734
"celebrated",1.91879308654599
"yummy",1.91571216413405
"not_overpower",1.91436261102728
"swoon",1.91436261102728
"amaze",1.91381925082216
"gumminess",1.91312398346292
"oozy",1.91200211177552
"excellent",1.9107275705663
"phx",1.90425801773901
"bliss",1.90238716729851
"elegantly",1.8999635655915
"complimented",1.89646665455709
"delicacies",1.89368705860667
"watering",1.88975134752642
"coma",1.88932079287809
"monarch",1.88708020914895
"favourite",1.88663039997731
"lightness",1.88364464743094
"fraiche",1.88261668408225
"awesomely",1.88229875727337
"elderflower",1.88011623269353
"libations",1.88011623269353
"rejoice",1.88011623269353
"meticulous",1.87771049537256
"decadence",1.87360223625522
"bursting",1.87350045506087
"cremini",1.87276536865724
"hazelnuts",1.87150033624169
"customizable",1.87101064627438
"sinfully",1.86893463669467
"cooked_perfectly",1.86647137323822
"adored",1.86499445524745
"looooove",1.86499445524745
"perfecter",1.86499445524745
"superbly",1.86499445524745
"transform",1.86499445524745
"intimate",1.86280746202724
"not_forget",1.85817121420471
"trifecta",1.85775946690041
"affogato",1.85582222958344
"lightest",1.85309007725799
"preserves",1.85100681110983
"daily_specials",1.84770635575152
"woot",1.84674970202447
"favs",1.84347500272804
"not_oily",1.84236738384836
"happiness",1.84201958081851
"pleasant_surprise",1.84183408586926
"cassava",1.84012753233613
"homesick",1.84012753233613
"baklava",1.83866477216487
"brandon",1.83785425020431
"genial",1.83756770203643
"homer",1.83554678337878
"jess",1.83554678337878
"softest",1.83554678337878
"revelation",1.8339108016083
"fats",1.8300253449034
"omega",1.8300253449034
"rivalled",1.82889730908585
"dedication",1.82719001163226
"millie",1.82719001163226
"havarti",1.826528433869
"carrie",1.825959169282
"naomi",1.82502975771139
"relaxed",1.82077945014478
"convivial",1.81836897478872
"guided",1.81836897478872
"intricate",1.81836897478872
"pecorino",1.81836897478872
"refreshingly",1.81836897478872
"tostadas",1.81836897478872
"explosion",1.81725505546035
"savour",1.81715567232325
"huge_portions",1.81613350654755
"savouring",1.81221089246398
"convert",1.8118414075245
"applause",1.80904387869697
"friendly_service",1.80480903456481
"delighted",1.80460115301554
"hervorragend",1.80417861117084
"not_fancy",1.80347203704879
"oasis",1.80330535802513
"transported",1.80318858580215
"loved",1.80247588416184
"jessie",1.80205005662816
"leckeren",1.80205005662816
"sangiovese",1.80205005662816
"super_fast",1.80032795973685
"sourced",1.79753631330716
"indulgent",1.79731230619445
"recommendations",1.79638923749496
"elegant",1.79478052541078
"licking",1.79401238051923
"savoury",1.79237672459756
"creaminess",1.78973929380529
"melded",1.7886982144968
"ronan",1.7886982144968
"fresh_ingredient",1.7881995462566
"fas",1.78772451589105
"cannoli",1.78605428536187
"downside",1.78605428536187
"balanced",1.78513772326177
"grail",1.78506506017534
"opal",1.7840133576086
"thoughtful",1.78344287688052
"not_rubbery",1.7821047122097
"chocolates",1.78106859042173
"tastic",1.78106859042173
"reasonable_price",1.77798101679938
"not_shy",1.77757167938733
"tantalizing",1.77757167938733
"ornate",1.77526239851555
"openness",1.77174349432999
"bomb",1.76926780510209
"furikake",1.76891770763552
"masterpiece",1.76865571416716
"worlds",1.76815691891008
"heartily",1.76572730330305
"skilfully",1.7639725809202
"xoxo",1.7639725809202
"exceeds",1.76349119690366
"afghani",1.7600871242153
"adorable",1.75916545774112
"paired",1.75788627111673
"bordelaise",1.75309330214649
"brett",1.75309330214649
"compares",1.75309330214649
"happy_houri",1.75309330214649
"mcgill",1.75309330214649
"not_beat",1.75309330214649
"panoramic",1.75309330214649
"schwäbisch",1.75309330214649
"stetson",1.75309330214649
"verne",1.75309330214649
"secret",1.75117342942172
"anytime",1.74645509814898
"fondant",1.74645509814898
"recommender",1.74616137230838
"zuvorkommend",1.74584044963069
"zulu",1.74510036263928
"freshest",1.74441953303901
"bravo",1.74379587696303
"lovers",1.74293246631068
"amazingly",1.7428066689091
"yob",1.74207273403807
"elixir",1.74157406579786
"brilliant",1.74042787312636
"dream",1.73853082331829
"stumbled",1.73849994935035
"crackling",1.73783405399636
"emily",1.73758225122161
"exceptional",1.73746005281621
"praline",1.73677438398594
"magical",1.73547923175097
"itinerary",1.73487683536262
"mamas",1.73414230041165
"everytime",1.73247993183842
"goody",1.73247993183842
"nailed",1.73197470217401
"rival",1.73092420577744
"customized",1.73049787700111
"knees",1.73049787700111
"escarole",1.72935669391296
"lindsay",1.72935669391296
"mentaiko",1.72935669391296
"not_watered",1.72809410836862
"soothing",1.72809410836862
"fountains",1.72687378510192
"enhances",1.72511801387125
"recognizes",1.72511801387125
"superstar",1.72133756950974
"mmm",1.72108311652386
"drawback",1.71903642946359
"genius",1.71838977998227
"comfort_foods",1.71637573628524
"delights",1.71488315230714
"classical",1.71240197374614
"alberto",1.70957618705168
"bootleggers",1.70957618705168
"butterscotch",1.70957618705168
"erica",1.70957618705168
"orgasm",1.70957618705168
"umami",1.70957618705168
"not_hesitate",1.70714506330336
"melts",1.70632864114908
"leeches",1.70582471161247
"indulgence",1.70539184906179
"guava",1.70413654766482
"argentinean",1.70255729752026
"mascarpone",1.69742673867495
"absolutely_lovely",1.69714272559601
"carla",1.69714272559601
"liqueur",1.69560280147077
"bonus",1.6936342736011
"mores",1.69113673150303
"foster",1.69037745980396
"pleasure",1.69028086243416
"excellent_food_service",1.68781762950427
"fast_service",1.68757084057178
"changer",1.6864287854055
"christine",1.6864287854055
"nomi",1.6864287854055
"sceptical",1.68596640820862
"indescribable",1.68397788405473
"pâté",1.68397788405473
"wholesome",1.68397788405473
"personable",1.6838785802931
"diavola",1.68094650606824
"glad",1.68012718132098
"addiction",1.67906113683275
"generous_portion",1.67812064523339
"beats",1.6774328634021
"tastiest",1.67700764549982
"velvety",1.67684207392726
"natalie",1.67646533860997
"flavors",1.67455581738434
"bathe",1.67331192447266
"flambé",1.67331192447266
"tarting",1.67331192447266
"delight",1.67218488157715
"world's",1.67206143265959
"huge_selection",1.6708943069674
"cochinita",1.67001517332912
"vivid",1.67001517332912
"pinball",1.66916743732078
"toddy",1.66712046500795
"nestled",1.66533679618765
"marry",1.66517096756717
"deter",1.66497114407949
"tara",1.66441691667026
"creatively",1.66320549063917
"ecstasy",1.66227497499209
"glee",1.66227497499209
"prohibition",1.66227497499209
"attentive_service",1.66026180921932
"delicate",1.65722249503914
"jenga",1.65517979318316
"juiciest",1.65517979318316
"serene",1.65517979318316
"tomahawk",1.65517979318316
"coy",1.6547593229185
"turkish",1.64963751909089
"toffee",1.64870973752479
"rocks",1.64693286670079
"winner",1.6464300753609
"cease",1.64627856509558
"lavender",1.6455804295593
"warmly",1.64547165490067
"sweet_tooth",1.64445933599739
"glorious",1.64394381674474
"pied",1.64379450144323
"fanciest",1.6426267792135
"donuts",1.64194823791784
"textures",1.64158069471603
"talented",1.64119214904554
"tingha",1.64119214904554
"energetic",1.64086495269144
"moonshine",1.6403444130372
"venezuelan",1.6403444130372
"upbeat",1.64016238383295
"gimlet",1.63938729173746
"profiterole",1.63829815370672
"romantic",1.63720662852413
"backdrop",1.63704766189365
"desires",1.63610573299549
"carnivores",1.63559709139049
"goreng",1.63559709139049
"groovy",1.63559709139049
"julian",1.63559709139049
"wide_variety",1.63525904228433
"awaits",1.63389424775634
"enhanced",1.63292672296422
"mimosas",1.63221242688311
"étouffée",1.63186705295379
"not_mushy",1.63186705295379
"tartness",1.63045415960656
"eldorado",1.62941308029807
"kahlua",1.62941308029807
"nitrogen",1.62941308029807
"silky",1.62746842272183
"omakase",1.62638170231159
"perfected",1.62638170231159
"resist",1.62254195686204
"not_hurt",1.62164776956558
"juicy",1.62102391796339
"accents",1.62070320552001
"comfort_food",1.6191581009224
"fun_atmosphere",1.61881191842535
"gaucho",1.61752075127418
"nutritious",1.61752075127418
"shishito",1.61632522613421
"approachable",1.61548512738721
"eclectic",1.61473119261426
"complement",1.61340050598873
"imported",1.61240204654869
"pretty_awesome",1.61188470418576
"genuine",1.61094176202502
"unique",1.61084761811507
"kimba",1.61067365274528
"cosy",1.60980524024893
"stunning",1.6096706974678
"indulge",1.60945708398615
"quibble",1.60855431272442
"dennis",1.60780228884606
"aplenty",1.60718297506387
"isabel",1.60622303870149
"ballroom",1.60453487475384
"nicole",1.60309813947925
"reasonable_priced",1.60309813947925
"jealous",1.60245713451059
"worth_checking",1.60214330916135
"hibiscus",1.60078339931464
"fluffy",1.60009700948664
"happiest",1.59899991099108
"obsession",1.59825333448354
"bad_meal",1.59672396693639
"greg",1.59547643405917
"glamour",1.59505746311795
"customize",1.59084909130301
"andy",1.58972958665686
"gobbled",1.58920969849155
"elegance",1.58902201685658
"pairing",1.5888189750878
"super_nice",1.58771543733885
"luxurious",1.58728356433997
"graham",1.58669106929688
"beat",1.58617834013898
"dakota",1.58524157249506
"environmentally",1.58524157249506
"loooove",1.58524157249506
"plush",1.58524157249506
"sympathique",1.58524157249506
"relaxing",1.58411881845057
"satisfies",1.58353576223437
"libation",1.58226547799769
"lectures",1.58100289245336
"endive",1.58049999821112
"burgh",1.58013659288279
"sazerac",1.57902484176723
"tarts",1.57902484176723
"dope",1.57868486430555
"twist",1.57800859554316
"sexologist",1.57787965452789
"breakfast_spot",1.5775771099539
"tangerine",1.57621728595466
"killer",1.57488035461534
"healthiest",1.57286312635557
"welcoming",1.57179091208691
"signets",1.57159509040958
"brimming",1.57077159580097
"marscapone",1.57077159580097
"craft_beer_selection",1.56984233124263
"nm",1.56915354728885
"bronze",1.56878552056845
"elevates",1.56878552056845
"pierogi",1.56712807648951
"interactive",1.56451913673562
"lug",1.56308292831665
"diets",1.56255890632595
"jaunt",1.56255890632595
"meticulously",1.56143281651613
"helpful",1.56130423787885
"friendliest",1.56060424475266
"artistic",1.56018907553216
"relish",1.55774980772087
"white_chocolate",1.55768561402266
"peachy",1.55726628421982
"potted",1.55726628421982
"not_huge",1.55553330176029
"sorbet",1.55500891225525
"nutella",1.55449615230138
"liz",1.5541579188559
"flab",1.5524900154899
"komex",1.55133213216143
"permits",1.55133213216143
"steroids",1.55133213216143
"not_skimpy",1.54875206604909
"shines",1.54875206604909
"subtly",1.54875206604909
"tender",1.54833647158476
"toasty",1.54802123187135
"combinations",1.54661460542046
"foci",1.54638700544612
"rumba",1.54638700544612
"testy",1.54638700544612
"adore",1.54624117061001
"hearty",1.54621648383524
"cochin",1.545276874959
"fascinating",1.54391444208846
"kurobuta",1.54220266745623
"mattie",1.54220266745623
"tennessee",1.54220266745623
"traditionalist",1.54220266745623
"playful",1.54079485280543
"symphony",1.54079485280543
"watercress",1.54079485280543
"frescos",1.54060015503457
"pierogis",1.54034296168295
"em_happy",1.53954242608518
"lemurs",1.53946382804467
"buttery",1.53939518104142
"bibimbop",1.53861609203633
"christina",1.53820347716501
"cheers",1.53805433925972
"coeur",1.53700831684809
"dory",1.53700831684809
"ganoush",1.53700831684809
"quaint",1.53547362235024
"recreate",1.53509718785076
"dulcet",1.53437741199462
"historic",1.53391076832031
"scotland",1.53278790697898
"zufrieden",1.53278790697898
"aromatic",1.5321602562805
"highlights",1.53138110368928
"moist",1.53133727507342
"simplicity",1.53121204578322
"fig",1.53105321882806
"homey",1.52929099594458
"great_sushi",1.52657374940129
"place's",1.52375742243959
"fragrant",1.52280745273916
"jo",1.52270857517394
"earthy",1.52241571323287
"snowy",1.52166137186951
"matthew",1.52037133881334
"pew",1.51976749355301
"poses",1.51976749355301
"travels",1.51976749355301
"gluttony",1.51874293643097
"justin",1.51810088063448
"cask",1.51709663951691
"comforting",1.51690499044867
"ores",1.51634720584708
"wagin",1.51630533204605
"lucia",1.51616678663027
"honourable",1.51530335180696
"not_found",1.51356934633535
"ernie",1.51304728017186
"shallot",1.51177111843888
"superlative",1.51118933882531
"didst",1.50771968932271
"not_so_loud",1.50717100056416
"torts",1.50682599172355
"tucked",1.50584221319929
"pibil",1.50573285844964
"bustle",1.50551924839464
"dimension",1.50531217742295
"testament",1.50385891569436
"defiantly",1.502961312862
"frails",1.50269154151894
"ice_cold_beer",1.50093248454228
"rocked",1.49820734230543
"suggestions",1.49788191777274
"carnivore",1.49776721977602
"detour",1.49752244824219
"creative",1.49745704721758
"devouring",1.49679029338952
"uniquely",1.49668670313459
"not_tried",1.49439930798506
"dates",1.49429717244834
"amuse",1.49376924025994
"byblos",1.49199061157759
"chandeliers",1.49199061157759
"classics",1.49199061157759
"cody",1.49199061157759
"diane",1.49199061157759
"doug",1.49199061157759
"exemplary",1.49199061157759
"indulging",1.49199061157759
"moderation",1.49199061157759
"nancy",1.49199061157759
"not_bland",1.49199061157759
"papilla",1.49199061157759
"sensory",1.49199061157759
"vibrant",1.49199061157759
"not_so_ggy",1.48882188960467
"sexy",1.488010387636
"heirloom",1.48756514224592
"array",1.48700773580338
"macaroons",1.48676855776622
"devour",1.48532982865492
"tasty_food",1.48496092375459
"apricot",1.48489542976866
"burrata",1.48398132659082
"homely",1.48398132659082
"creperie",1.48279685486742
"habanero",1.48246131630136
"lucked",1.48239124795374
"creamy",1.48153255988592
"licious",1.48146227728046
"savory",1.48146227728046
"heather",1.48120124419871
"legume",1.4809269382484
"gras",1.47893547704915
"aubergine",1.47810217058989
"sinatra",1.47715523143163
"friendship",1.4760697158112
"goddess",1.47546512483273
"pk",1.47481280298754
